added_route_id,trip_id
40,72093723
50,72093723
40,72093802
50,72093802
40,72081588
50,72081588
40,72081589
50,72081589
40,72081595
50,72081595
40,72081596
50,72081596
40,72083023
50,72083023
40,72083025
50,72083025
40,72083026
50,72083026
40,72083027
50,72083027
40,72083028
50,72083028
40,72083029
50,72083029
40,72083032
50,72083032
40,72083033
50,72083033
40,72089943
50,72089943
40,72089946
50,72089946
40,72089947
50,72089947
40,72089948
50,72089948
40,72089949
50,72089949
40,72089950
50,72089950
40,72089953
50,72089953
40,72089954
50,72089954
40,72084556
50,72084556
40,72084635
50,72084635
40,72093633
50,72093633
40,72093801
50,72093801
40,72081587
50,72081587
40,72081590
50,72081590
40,72081592
50,72081592
40,72081594
50,72081594
40,72083024
50,72083024
40,72083030
50,72083030
40,72083031
50,72083031
40,72083034
50,72083034
40,72083035
50,72083035
40,72083036
50,72083036
40,72083037
50,72083037
40,72083038
50,72083038
40,72089944
50,72089944
40,72089951
50,72089951
40,72089952
50,72089952
40,72089955
50,72089955
40,72089956
50,72089956
40,72089957
50,72089957
40,72089958
50,72089958
40,72089959
50,72089959
40,72084466
50,72084466
40,72084634
50,72084634
441,71825629
442,71825629
441,71826713
442,71826713
441,71826745
442,71826745
441,71828491
442,71828491
441,71828524
442,71828524
441,71828955
442,71828955
441,71825753
442,71825753
441,71825754
442,71825754
441,71826715
442,71826715
441,71826716
442,71826716
441,71826734
442,71826734
441,71828494
442,71828494
441,71828495
442,71828495
441,71828514
442,71828514
441,71829079
442,71829079
441,71829080
442,71829080
741,72012495
742,72012495
743,72012495
741,72012608
742,72012608
743,72012608
741,72012617
742,72012617
743,72012617
741,72012618
742,72012618
743,72012618
741,72012628
742,72012628
743,72012628
741,72012702
742,72012702
743,72012702
741,72012810
742,72012810
743,72012810
741,72012820
742,72012820
743,72012820
741,72012871
742,72012871
743,72012871
741,72012894
742,72012894
743,72012894
741,72012902
742,72012902
743,72012902
741,72013164
742,72013164
743,72013164
741,72013166
742,72013166
743,72013166
741,72013167
742,72013167
743,72013167
741,72013187
742,72013187
743,72013187
741,72013189
742,72013189
743,72013189
741,72013241
742,72013241
743,72013241
741,72013251
742,72013251
743,72013251
741,72013311
742,72013311
743,72013311
741,72013312
742,72013312
743,72013312
741,72013314
742,72013314
743,72013314
741,72013316
742,72013316
743,72013316
741,72013424
742,72013424
743,72013424
741,72013426
742,72013426
743,72013426
741,72013438
742,72013438
743,72013438
741,72013456
742,72013456
743,72013456
741,72013510
742,72013510
743,72013510
741,72013537
742,72013537
743,72013537
741,72013538
742,72013538
743,72013538
741,72013540
742,72013540
743,72013540
741,72013542
742,72013542
743,72013542
741,72013546
742,72013546
743,72013546
741,72013547
742,72013547
743,72013547
741,72013550
742,72013550
743,72013550
741,72013551
742,72013551
743,72013551
741,72013554
742,72013554
743,72013554
741,72013556
742,72013556
743,72013556
741,72013814
742,72013814
743,72013814
741,72014199
742,72014199
743,72014199
741,72014200
742,72014200
743,72014200
741,72022239
742,72022239
743,72022239
741,72022243
742,72022243
743,72022243
741,72022248
742,72022248
743,72022248
741,72022251
742,72022251
743,72022251
741,72022252
742,72022252
743,72022252
741,72022254
742,72022254
743,72022254
741,72022260
742,72022260
743,72022260
741,72022261
742,72022261
743,72022261
741,72022262
742,72022262
743,72022262
741,72022263
742,72022263
743,72022263
741,72022264
742,72022264
743,72022264
741,72022265
742,72022265
743,72022265
741,72022282
742,72022282
743,72022282
741,71933650
742,71933650
743,71933650
741,71933651
742,71933651
743,71933651
741,71933652
742,71933652
743,71933652
741,71933654
742,71933654
743,71933654
741,71933657
742,71933657
743,71933657
741,71933658
742,71933658
743,71933658
741,71933662
742,71933662
743,71933662
741,71933786
742,71933786
743,71933786
741,71933788
742,71933788
743,71933788
741,71933790
742,71933790
743,71933790
741,71933816
742,71933816
743,71933816
741,71933837
742,71933837
743,71933837
741,71933839
742,71933839
743,71933839
741,71933841
742,71933841
743,71933841
741,71933898
742,71933898
743,71933898
741,71933901
742,71933901
743,71933901
741,71933903
742,71933903
743,71933903
741,71933904
742,71933904
743,71933904
741,71933945
742,71933945
743,71933945
741,71933976
742,71933976
743,71933976
741,71933977
742,71933977
